"","Sex","age_class"
"SRR10573553","Male","class1"
"SRR10573569","Male","class1"
"SRR10573586","Male","class1"
"SRR10573813","Male","class1"
"SRR10573830","Male","class1"
"SRR10573847","Male","class1"
"SRR11216550","Male","class1"
"SRR11216551","Male","class1"
"SRR11216552","Male","class1"
"SRR11216556","Male","class1"
"SRR11216557","Male","class1"
"SRR11216558","Male","class1"
"SRR11216559","Male","class1"
"SRR11216560","Male","class1"
"SRR11216561","Male","class1"
"SRR12515171","Male","class1"
"SRR12515172","Male","class1"
"SRR12515173","Male","class1"
"SRR12515174","Male","class1"
"SRR1794774","Male","class1"
"SRR1794775","Male","class1"
"SRR1794776","Male","class1"
"SRR1794777","Male","class1"
"SRR7161656","Male","class1"
"SRR7161664","Male","class1"
"SRR7161672","Male","class1"
"SRR7161680","Male","class1"
"SRR7161688","Male","class1"
"SRR7161696","Male","class1"
"SRR7161704","Male","class1"
"SRR7161712","Male","class1"
"SRR7161720","Male","class1"
"SRR7161728","Male","class1"
"SRR7161736","Male","class1"
"SRR7161744","Male","class1"
"SRR7761111","Male","class1"
"SRR7761112","Male","class1"
"SRR9856034","Male","class1"
"SRR9856035","Male","class1"
"SRR9856036","Male","class1"
