"","Sex","age_class"
"SRR10025171","Female","class2"
"SRR10025172","Female","class2"
"SRR10025173","Female","class2"
"SRR2297461","Female","class2"
"SRR2297462","Female","class2"
"SRR2297463","Female","class2"
"SRR2297464","Female","class2"
"SRR2297465","Female","class2"
"SRR2297466","Female","class2"
"SRR2297467","Female","class2"
"SRR2297468","Female","class2"
"SRR2297469","Female","class2"
"SRR2297470","Female","class2"
"SRR2297471","Female","class2"
"SRR2297472","Female","class2"
"SRR2297473","Female","class2"
"SRR2297474","Female","class2"
"SRR2297475","Female","class2"
"SRR2297476","Female","class2"
"SRR2297477","Female","class2"
"SRR2297478","Female","class2"
"SRR2297479","Female","class2"
"SRR2297480","Female","class2"
"SRR2297481","Female","class2"
"SRR2297482","Female","class2"
"SRR2297483","Female","class2"
"SRR2297484","Female","class2"
"SRR2297485","Female","class2"
"SRR2297486","Female","class2"
"SRR2297487","Female","class2"
"SRR2297488","Female","class2"
"SRR2297489","Female","class2"
"SRR2297490","Female","class2"
"SRR2297491","Female","class2"
"SRR2297492","Female","class2"
"SRR2297493","Female","class2"
"SRR2297494","Female","class2"
"SRR2297495","Female","class2"
"SRR2297496","Female","class2"
"SRR2297497","Female","class2"
"SRR2297498","Female","class2"
"SRR2297499","Female","class2"
"SRR2297500","Female","class2"
"SRR2297501","Female","class2"
"SRR2297502","Female","class2"
"SRR2297503","Female","class2"
"SRR2297504","Female","class2"
"SRR2297505","Female","class2"
"SRR2297506","Female","class2"
"SRR2297507","Female","class2"
"SRR2297508","Female","class2"
"SRR2297509","Female","class2"
"SRR2297510","Female","class2"
"SRR1794786","Female","class2"
"SRR1794787","Female","class2"
"SRR1794788","Female","class2"
"SRR1794789","Female","class2"
